week_48,label,sci,ebird_score,in_ebird
1,Cygnus columbianus_Tundra Swan,Cygnus columbianus,0.4219,True
1,Strix uralensis_Ural Owl,Strix uralensis,0.4216,True
1,Sittiparus varius_Varied Tit,Sittiparus varius,0.6959,True
1,Larus vegae_Vega Gull,Larus vegae,0.0,False
1,Zosterops japonicus_Warbling White-eye,Zosterops japonicus,0.7375,True
1,Coloeus monedula_Western Jackdaw,Coloeus monedula,0.0,False
1,Spodiopsar cineraceus_White-cheeked Starling,Spodiopsar cineraceus,0.5289,True
1,Antigone vipio_White-naped Crane,Antigone vipio,0.5894,True
1,Motacilla alba_White Wagtail,Motacilla alba,0.9265,True
1,Cygnus cygnus_Whooper Swan,Cygnus cygnus,0.4594,True
1,Tringa glareola_Wood Sandpiper,Tringa glareola,0.1904,True
1,Periparus venustulus_Yellow-bellied Tit,Periparus venustulus,0.0583,True
1,Emberiza elegans_Yellow-throated Bunting,Emberiza elegans,0.682,True
1,Cisticola juncidis_Zitting Cisticola,Cisticola juncidis,0.346,True
2,Saxicola stejnegeri_Amur Stonechat,Saxicola stejnegeri,0.1061,True
2,Muscicapa dauurica_Asian Brown Flycatcher,Muscicapa dauurica,0.0399,True
2,Delichon dasypus_Asian House Martin,Delichon dasypus,0.2491,True
2,Parus cinereus_Asian Tit,Parus cinereus,0.0,True
2,Cyanopica cyanus_Azure-winged Magpie,Cyanopica cyanus,0.376,True
2,Sibirionetta formosa_Baikal Teal,Sibirionetta formosa,0.0,False
2,Limosa lapponica_Bar-tailed Godwit,Limosa lapponica,0.3289,True
2,Hirundo rustica_Barn Swallow,Hirundo rustica,0.1251,True
2,Nycticorax nycticorax_Black-crowned Night Heron,Nycticorax nycticorax,0.2813,True
2,Chroicocephalus ridibundus_Black-headed Gull,Chroicocephalus ridibundus,0.4641,True
2,Rissa tridactyla_Black-legged Kittiwake,Rissa tridactyla,0.3935,True
2,Podiceps nigricollis_Black-necked Grebe,Podiceps nigricollis,0.4496,True
2,Limosa limosa_Black-tailed Godwit,Limosa limosa,0.2636,True
2,Larus crassirostris_Black-tailed Gull,Larus crassirostris,0.4636,True
2,Himantopus himantopus_Black-winged Stilt,Himantopus himantopus,0.2601,True
2,Milvus migrans_Black Kite,Milvus migrans,0.7347,True
2,Cyanoptila cyanomelana_Blue-and-white Flycatcher,Cyanoptila cyanomelana,0.0371,True
2,Monticola solitarius_Blue Rock Thrush,Monticola solitarius,0.5151,True
2,Fringilla montifringilla_Brambling,Fringilla montifringilla,0.4641,True
2,Calidris falcinellus_Broad-billed Sandpiper,Calidris falcinellus,0.052,True
2,Hypsipetes amaurotis_Brown-eared Bulbul,Hypsipetes amaurotis,0.9997,True
2,Turdus chrysolaus_Brown-headed Thrush,Turdus chrysolaus,0.2768,True
2,Sula leucogaster_Brown Booby,Sula leucogaster,0.3786,True
2,Lanius bucephalus_Bull-headed Shrike,Lanius bucephalus,0.7398,True
2,Corvus corone_Carrion Crow,Corvus corone,0.7693,True
2,Emberiza fucata_Chestnut-eared Bunting,Emberiza fucata,0.4523,True
2,Remiz consobrinus_Chinese Penduline-Tit,Remiz consobrinus,0.455,True
2,Periparus ater_Coal Tit,Periparus ater,0.406,True
2,Grus grus_Common Crane,Grus grus,0.1275,True
2,Bucephala clangula_Common Goldeneye,Bucephala clangula,0.4806,True
2,Tringa nebularia_Common Greenshank,Tringa nebularia,0.335,True
2,Larus canus_Common Gull,Larus canus,0.4164,True
2,Alcedo atthis_Common Kingfisher,Alcedo atthis,0.5122,True
2,Mergus merganser_Common Merganser,Mergus merganser,0.5206,True
2,Gallinula chloropus_Common Moorhen,Gallinula chloropus,0.4145,True
2,Aythya ferina_Common Pochard,Aythya ferina,0.6651,True
2,Tringa totanus_Common Redshank,Tringa totanus,0.2455,True
2,Actitis hypoleucos_Common Sandpiper,Actitis hypoleucos,0.5252,True
2,Tadorna tadorna_Common Shelduck,Tadorna tadorna,0.5518,True
2,Gallinago gallinago_Common Snipe,Gallinago gallinago,0.4572,True
2,Anas crecca_Common Teal,Anas crecca,0.789,True
2,Calidris ferruginea_Curlew Sandpiper,Calidris ferruginea,0.051,True
2,Coloeus dauuricus_Daurian Jackdaw,Coloeus dauuricus,0.0,False
2,Phoenicurus auroreus_Daurian Redstart,Phoenicurus auroreus,0.8934,True
2,Grus virgo_Demoiselle Crane,Grus virgo,0.0,False
2,Calidris alpina_Dunlin,Calidris alpina,0.4466,True
2,Turdus eunomus_Dusky Thrush,Turdus eunomus,0.7068,True
2,Cecropis daurica_Eastern Red-rumped Swallow,Cecropis daurica,0.0543,True
2,Anas zonorhyncha_Eastern Spot-billed Duck,Anas zonorhyncha,0.7752,True
2,Motacilla tschutschensis_Eastern Yellow Wagtail,Motacilla tschutschensis,0.064,True
2,Fulica atra_Eurasian Coot,Fulica atra,0.843,True
2,Numenius arquata_Eurasian Curlew,Numenius arquata,0.4343,True
2,Garrulus glandarius_Eurasian Jay,Garrulus glandarius,0.4677,True
2,Falco tinnunculus_Eurasian Kestrel,Falco tinnunculus,0.5154,True
2,Pica serica_Eurasian Magpie,Pica serica,0.6247,True
2,Haematopus ostralegus_Eurasian Oystercatcher,Haematopus ostralegus,0.338,True
2,Spinus spinus_Eurasian Siskin,Spinus spinus,0.4816,True
2,Alauda arvensis_Eurasian Skylark,Alauda arvensis,0.4578,True
2,Accipiter nisus_Eurasian Sparrowhawk,Accipiter nisus,0.5007,True
2,Platalea leucorodia_Eurasian Spoonbill,Platalea leucorodia,0.5037,True
2,Passer montanus_Eurasian Tree Sparrow,Passer montanus,0.9961,True
2,Numenius phaeopus_Eurasian Whimbrel,Numenius phaeopus,0.2336,True
2,Mareca penelope_Eurasian Wigeon,Mareca penelope,0.768,True
2,Scolopax rusticola_Eurasian Woodcock,Scolopax rusticola,0.364,True
2,Troglodytes troglodytes_Eurasian Wren,Troglodytes troglodytes,0.4684,True
2,Sturnus vulgaris_European Starling,Sturnus vulgaris,0.5877,True
2,Turdus obscurus_Eyebrowed Thrush,Turdus obscurus,0.097,True
2,Mareca falcata_Falcated Duck,Mareca falcata,0.5683,True
2,Numenius madagascariensis_Far Eastern Curlew,Numenius madagascariensis,0.1503,True
2,Mareca strepera_Gadwall,Mareca strepera,0.56,True
2,Spatula querquedula_Garganey,Spatula querquedula,0.2312,True
2,Larus glaucescens_Glaucous-winged Gull,Larus glaucescens,0.3965,True
2,Larus hyperboreus_Glaucous Gull,Larus hyperboreus,0.3555,True
2,Regulus regulus_Goldcrest,Regulus regulus,0.4121,True
2,Phalacrocorax carbo_Great Cormorant,Phalacrocorax carbo,0.7976,True
2,Podiceps cristatus_Great Crested Grebe,Podiceps cristatus,0.5964,True
2,Ardea alba_Great Egret,Ardea alba,0.6855,True
2,Anser albifrons_Greater White-fronted Goose,Anser albifrons,0.4767,True
2,Tringa ochropus_Green Sandpiper,Tringa ochropus,0.4436,True
2,Vanellus cinereus_Grey-headed Lapwing,Vanellus cinereus,0.3809,True
2,Tringa brevipes_Grey-tailed Tattler,Tringa brevipes,0.2658,True
2,Ardea cinerea_Grey Heron,Ardea cinerea,0.8553,True
2,Pluvialis squatarola_Grey Plover,Pluvialis squatarola,0.412,True
2,Motacilla cinerea_Grey Wagtail,Motacilla cinerea,0.5543,True
2,Anser anser_Greylag Goose,Anser anser,0.0109,True
2,Coccothraustes coccothraustes_Hawfinch,Coccothraustes coccothraustes,0.4523,True
2,Circus cyaneus_Hen Harrier,Circus cyaneus,0.4721,True
2,Grus monacha_Hooded Crane,Grus monacha,0.548,True
2,Horornis diphone_Japanese Bush Warbler,Horornis diphone,0.6704,True
2,Picus awokera_Japanese Green Woodpecker,Picus awokera,0.3569,True
2,Yungipicus kizuki_Japanese Pygmy Woodpecker,Yungipicus kizuki,0.6544,True
2,Parus minor_Japanese Tit,Parus minor,0.9066,True
2,Motacilla grandis_Japanese Wagtail,Motacilla grandis,0.6572,True
2,Anarhynchus alexandrinus_Kentish Plover,Anarhynchus alexandrinus,0.0,False
2,Corvus macrorhynchos_Large-billed Crow,Corvus macrorhynchos,0.9958,True
2,Larus fuscus_Lesser Black-backed Gull,Larus fuscus,0.2562,True
2,Anser erythropus_Lesser White-fronted Goose,Anser erythropus,0.0816,True
2,Emberiza pusilla_Little Bunting,Emberiza pusilla,0.3392,True
